"""X"",""Y"",""OBJECTID"",""src_geo"",""clc_quartier"",""clc_secteur"",""id_arbre"",""haut_tot"",""haut_tronc"",""tronc_diam"",""fk_arb_etat"",""fk_stadedev"",""fk_port"",""fk_pied"",""fk_situation"",""age_estim"",""villeca"",""feuillage"",""remarquable"",""lng"",""lat"""
"1721095.6459,8293514.7374,10,""orthophoto"",""quartier_du_centre-ville"",""quai_gayant"",""19"",6,2,37,""en_place"",""jeune"",""semi_libre"",""gazon"",""alignement"",15,""ville"",""feuillu"",""non"",3.29326360936389,49.8405002041934"
"1719656.9537,8295835.0154,21,""orthophoto"",""quartier_du_vermandois"",""stade_cepy"",""7"",13,1,160,""en_place"",""adulte"",""semi_libre"",""gazon"",""groupe"",50,""ville"",""conifère"",""non"",3.273379794709,49.8614087124318"
"1720792.1279,8293959.9257,22,""orthophoto"",""quartier_du_centre-ville"",""rue_villebois_mareuil"",""1"",12,3,116,""remplacé"",""adulte"",""semi_libre"",""gazon"",""alignement"",30,""ville"",""feuillu"",""non"",3.28906782466355,49.8445131056776"
"1721742.4894,8295883.9685,25,""orthophoto"",""quartier_de_l'europe"",""square_des_marronniers"",""48"",16,3,150,""en_place"",""adulte"",""semi_libre"",""gazon"",""groupe"",50,""ville"",""feuillu"",""non"",3.30238687765097,49.8617777162205"
"1721863.3578,8295513.886,26,""orthophoto"",""quartier_de_l'europe"",""avenue_buffon"",""25"",5,2,170,""essouché"",""adulte"",""réduit"",""gazon"",""isolé"",40,""ville"",""feuillu"",""non"",3.30404724089302,49.8584462015276"
"1721969.4043,8295790.3804,27,""orthophoto"",""quartier_de_l'europe"",""rue_laplace"",""26"",8,3,103,""en_place"",""adulte"",""réduit_relâché"",""fosse_arbre"",""alignement"",30,""ville"",""feuillu"",""non"",3.30553745769042,49.8609281578221"
"1719514.2003,8293219.3241,28,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""1"",6,3,100,""en_place"",""adulte"",""réduit"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.27126447731581,49.8378971701013"
"1719488.0907,8293202.5464,29,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""2"",8,2,85,""en_place"",""adulte"",""réduit_relâché"",""revetement_non_permeable"",""alignement"",50,""ville"",""feuillu"",""non"",3.27090070184093,49.8377471690772"
"1719476.0006,8293194.2108,30,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""3"",8,4,105,""en_place"",""adulte"",""réduit_relâché"",""revetement_non_permeable"",""alignement"",50,""ville"",""feuillu"",""non"",3.27073222757654,49.8376726159512"
"1719462.3504,8293184.9752,31,""orthophoto"",""quartier_saint-martin_-_oëstres"",""rue_de_paris"",""4"",9,4,135,""en_place"",""adulte"",""réduit_relâché"",""gazon"",""alignement"",50,""ville"",""feuillu"",""non"",3.27054202279862,49.8375900211531"
